mode,modules,fns,density,generic_slots,distinct_keys,threads,median_ms,q1_ms,q3_ms,reps
deferred,1000,16,1,64000,7877,seq,1563.61,1559.17,1569.76,9
content,1000,16,1,64000,7877,seq,1512.01,1506.78,1513.55,9
deferred,1000,16,1,64000,7877,1,1567.68,1567.19,1568.29,9
content,1000,16,1,64000,7877,1,1510.22,1509.66,1510.61,9
deferred,1000,16,1,64000,7877,2,908.86,903.79,917.25,9
content,1000,16,1,64000,7877,2,885.91,883.00,891.24,9
deferred,1000,16,1,64000,7877,4,645.26,634.12,678.46,9
content,1000,16,1,64000,7877,4,620.49,611.88,626.22,9
deferred,1000,16,1,64000,7877,8,428.32,423.61,438.09,9
content,1000,16,1,64000,7877,8,419.46,414.68,435.57,9
deferred,1000,16,1,64000,7877,16,320.29,317.37,320.54,9
content,1000,16,1,64000,7877,16,311.98,310.77,322.66,9
deferred,1000,16,1,64000,7877,32,268.70,266.60,269.43,9
content,1000,16,1,64000,7877,32,261.65,260.14,262.29,9
deferred,1000,16,1,64000,7877,48,266.20,265.74,268.63,9
content,1000,16,1,64000,7877,48,255.99,254.92,256.74,9
