bytes,median_ns,q1_ns,q3_ns,copy_GBps,traffic_GBps,reps
4096,40.7,38.5,41.9,100.60,201.19,11
8192,82.6,76.9,88.2,99.23,198.46,11
16384,274.7,274.5,290.8,59.64,119.29,11
32768,505.2,475.1,791.0,64.87,129.73,11
65536,854.7,851.3,856.8,76.68,153.36,11
131072,1751.1,1744.1,1758.2,74.85,149.70,11
262144,3542.6,3541.8,3543.3,74.00,148.00,11
524288,7121.7,7117.5,7127.3,73.62,147.24,11
1048576,14259.3,14239.3,14262.1,73.54,147.07,11
2097152,28534.1,28511.4,28556.8,73.50,146.99,11
4194304,57136.4,57045.5,57204.5,73.41,146.82,11
8388608,114372.1,114255.8,115000.0,73.34,146.69,11
16777216,307166.7,298166.7,317555.6,54.62,109.24,11
33554432,715857.1,714714.3,721714.3,46.87,93.75,11
67108864,1494500.0,1491250.0,1572500.0,44.90,89.81,11
134217728,3087500.0,3056500.0,3126000.1,43.47,86.94,11
268435456,6150000.0,6135999.9,6317000.1,43.65,87.30,11
